time_idx,group_id,target,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168,total_renewable_mw,net_load,high_demand_flag,peak_hour_flag,wind_generation_mw,solar_generation_mw
124,0,147993.792,9,0,1,0,0.707107,-0.707107,0.0,1.0,143469.474,127783.24,165660.918,152029.816,178212.468,3260.75,144733.042,0,0,3260.75,0.0
125,0,158946.338,10,0,1,0,0.5,-0.866025,0.0,1.0,147993.792,130244.662,176130.552,152871.922,178107.306,3289.311,155657.027,0,0,3289.311,0.0
126,0,175902.58,11,0,1,0,0.258819,-0.965926,0.0,1.0,158946.338,134432.63,192888.258,154067.826,178005.019,3175.479,172727.101,0,0,3175.479,0.0
127,0,187518.148,12,0,1,0,0.0,-1.0,0.0,1.0,175902.58,140143.866,202837.27,155795.74,177903.914,2661.502,184856.646,0,0,2657.868,3.634
128,0,188803.874,13,0,1,0,-0.258819,-0.965926,0.0,1.0,187518.148,146069.482,202301.494,157769.668,177812.729,2234.252,186569.622,0,0,2151.443,82.809
129,0,188435.528,14,0,1,0,-0.5,-0.866025,0.0,1.0,188803.874,150506.894,197360.558,159550.268,177732.386,1682.866,186752.662,0,0,1538.541,144.325
130,0,187023.602,15,0,1,0,-0.707107,-0.707107,0.0,1.0,188435.528,153280.694,191920.794,161130.628,177679.261,1446.668,185576.934,0,0,1224.167,222.501
131,0,185240.108,16,0,1,0,-0.866025,-0.5,0.0,1.0,187023.602,153974.188,186072.522,162536.582,177650.111,1329.572,183910.536,0,0,1010.708,318.864
132,0,183178.498,17,0,1,0,-0.965926,-0.258819,0.0,1.0,185240.108,154312.748,182886.38,163839.329,177645.156,1131.291,182047.207,0,1,843.271,288.02
133,0,181095.204,18,0,1,0,-1.0,-0.0,0.0,1.0,183178.498,153816.47,180318.9,165042.069,177646.895,1094.042,180001.162,0,1,861.359,232.683
134,0,179353.522,19,0,1,0,-0.965926,0.258819,0.0,1.0,181095.204,153683.438,176878.238,166178.683,177651.516,965.907,178387.615,0,1,806.445,159.462
135,0,178343.952,20,0,1,0,-0.866025,0.5,0.0,1.0,179353.522,155367.462,176827.274,167248.269,177666.249,919.681,177424.271,0,1,845.536,74.145
136,0,181335.066,21,0,1,0,-0.707107,0.707107,0.0,1.0,178343.952,159679.284,182078.468,168205.623,177675.277,1047.542,180287.524,0,1,1033.263,14.279
137,0,190703.828,22,0,1,0,-0.5,0.866025,0.0,1.0,181335.066,170318.214,194703.114,169107.947,177670.852,1483.679,189220.149,0,0,1483.679,0.0
138,0,194631.172,23,0,1,0,-0.258819,0.965926,0.0,1.0,190703.828,174265.946,200771.15,169957.348,177647.047,1762.95,192868.222,0,0,1762.95,0.0
